Origin,TaxiOut,LATITUDE,LONGITUDE
ABQ,11.25,35.0402222222,-106.609194444
ATL,24.04,33.63672,-84.4280661111
AUS,13.13,30.1945277778,-97.6698888889
BNA,12.69,36.1244722222,-86.6781944444
BOS,22.64,42.3629722222,-71.0064166667
BWI,14.43,39.1753611111,-76.6683333333
CLT,24.68,35.214,-80.9431388889
DAL,12.04,32.8471111111,-96.8517777778
DCA,23.17,38.8520833333,-77.0377222222
DEN,18.45,39.8616563889,-104.6731775
DFW,19.89,32.8968280556,-97.0379958333
EWR,30.61,40.6925,-74.1686666667
FLL,24.13,26.0725833333,-80.15275
HOU,11.34,29.6454186111,-95.2788888889
IAD,24.4,38.9445319444,-77.4558097222
JFK,41.51,40.6397511111,-73.7789255556
LAS,18.41,36.0800555556,-115.15225
LAX,17.04,33.9425222222,-118.407161111
LGA,33.64,40.77725,-73.8726111111
MCI,13.36,39.2976052778,-94.7139055556
MCO,17.73,28.4293936111,-81.3089930556
MDW,14.99,41.7859722222,-87.7524166667
MIA,20.35,25.79325,-80.2905555556
MKE,20.19,42.9472222222,-87.8965833333
OAK,11.09,37.7212777778,-122.220722222
ORD,23.42,41.9786033333,-87.9048413889
PDX,11.97,45.5887222222,-122.5975
PHL,29.99,39.8719444444,-75.2411388889
PHX,15.41,33.4342777778,-112.011583333
PIT,19.25,40.4914722222,-80.2328611111
RDU,17.67,35.8776388889,-78.7874722222
SAN,15.14,32.7335555556,-117.189666667
SEA,17.4,47.449,-122.309305556
SFO,19.55,37.6189722222,-122.374888889
SJC,11.77,37.3626666667,-121.929111111
SLC,22.32,40.7883877778,-111.977773056
SMF,11,38.6954166667,-121.590777778
SNA,14.37,33.6756666667,-117.868222222
STL,14.06,38.7486972222,-90.3700288889
TPA,15.54,27.9754722222,-82.53325
